cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-surface,stem-color,has-ring,ring-type,habitat,season
8.19,,,,,,,,22.06,17.67,,,,,,
10.02,,,,,,,,13.59,6.69,,,,,,
14.59,,,,,,,,10.65,12.41,,,,,,
8.64,,,,,,,,11.16,11.97,,,,,,
12.63,,,,,,,,10.08,37.14,,,,,,
1.09,,,,,,,,13.74,12.22,,,,,,
9.81,,,,,,,,15.07,5.26,,,,,,
20.41,,,,,,,,1.5,12.65,,,,,,
8.13,,,,,,,,15.46,8.23,,,,,,
2.18,,,,,,,,16.55,34.35,,,,,,
10.99,,,,,,,,7.55,17.41,,,,,,
12.07,,,,,,,,10.92,26.34,,,,,,
11.53,,,,,,,,1.93,9.41,,,,,,
15.88,,,,,,,,2.36,14.88,,,,,,
7.79,,,,,,,,9.9,14.57,,,,,,
5.95,,,,,,,,10.02,11.91,,,,,,
4.84,,,,,,,,23.75,4.27,,,,,,
14.46,,,,,,,,6.5,3.93,,,,,,
4.47,,,,,,,,9.13,35.15,,,,,,
10.61,,,,,,,,14.46,9.95,,,,,,
11.04,,,,,,,,16.96,31.95,,,,,,
13.5,,,,,,,,13.58,8.69,,,,,,
10.08,,,,,,,,23.95,4.58,,,,,,
6.04,,,,,,,,17.35,8.37,,,,,,
0.83,,,,,,,,12.36,2.79,,,,,,
11.14,,,,,,,,12.05,2.29,,,,,,
12.74,,,,,,,,11.82,0.95,,,,,,
17.4,,,,,,,,12.14,24.36,,,,,,
52.87,,,,,,,,13.85,9.32,,,,,,
11.12,,,,,,,,1.0,18.27,,,,,,
52.37,,,,,,,,9.88,13.27,,,,,,
1.75,,,,,,,,2.51,17.29,,,,,,
12.24,,,,,,,,11.47,11.51,,,,,,
22.32,,,,,,,,9.15,8.67,,,,,,
2.03,,,,,,,,1.99,19.45,,,,,,
6.36,,,,,,,,14.59,18.44,,,,,,
0.63,,,,,,,,22.61,8.97,,,,,,
7.61,,,,,,,,18.42,11.94,,,,,,
8.6,,,,,,,,17.44,11.12,,,,,,
9.36,,,,,,,,1.28,21.22,,,,,,
15.15,,,,,,,,12.89,12.51,,,,,,
15.16,,,,,,,,10.37,2.88,,,,,,
11.34,,,,,,,,14.16,4.61,,,,,,
1.68,,,,,,,,16.27,25.27,,,,,,
5.26,,,,,,,,13.4,22.98,,,,,,
10.68,,,,,,,,16.65,12.56,,,,,,
1.57,,,,,,,,13.54,19.37,,,,,,
2.56,,,,,,,,12.52,2.42,,,,,,
5.13,,,,,,,,15.71,31.29,,,,,,
12.06,,,,,,,,10.49,10.11,,,,,,
5.0,,,,,,,,23.1,22.51,,,,,,
11.58,,,,,,,,12.4,7.22,,,,,,
12.73,,,,,,,,2.24,1.19,,,,,,
10.39,,,,,,,,10.46,9.63,,,,,,
14.25,,,,,,,,21.32,3.18,,,,,,
9.41,,,,,,,,10.82,8.01,,,,,,
9.47,,,,,,,,1.64,17.79,,,,,,
18.8,,,,,,,,2.97,2.11,,,,,,
2.68,,,,,,,,9.41,18.32,,,,,,
12.3,,,,,,,,13.45,1.96,,,,,,
7.94,,,,,,,,13.05,8.18,,,,,,
9.09,,,,,,,,9.75,1.63,,,,,,
10.77,,,,,,,,17.49,23.75,,,,,,
5.21,,,,,,,,2.39,17.02,,,,,,
53.44,,,,,,,,16.67,12.55,,,,,,
12.47,,,,,,,,2.52,10.59,,,,,,
12.05,,,,,,,,12.77,26.15,,,,,,
2.04,,,,,,,,10.88,23.46,,,,,,
6.76,,,,,,,,13.18,20.22,,,,,,
6.65,,,,,,,,15.61,11.24,,,,,,
0.55,,,,,,,,13.68,15.61,,,,,,
11.74,,,,,,,,15.18,11.22,,,,,,
10.05,,,,,,,,16.23,7.5,,,,,,
2.8,,,,,,,,18.07,6.28,,,,,,
4.42,,,,,,,,13.39,12.05,,,,,,
15.66,,,,,,,,1.92,19.12,,,,,,
17.02,,,,,,,,13.26,5.22,,,,,,
2.19,,,,,,,,11.87,11.93,,,,,,
52.09,,,,,,,,7.43,1.92,,,,,,
25.55,,,,,,,,12.39,7.18,,,,,,
12.12,,,,,,,,11.73,8.88,,,,,,
18.02,,,,,,,,9.17,3.75,,,,,,
14.99,,,,,,,,15.41,28.01,,,,,,
15.53,,,,,,,,12.12,17.23,,,,,,
13.37,,,,,,,,11.68,21.0,,,,,,
10.69,,,,,,,,9.38,23.24,,,,,,
2.62,,,,,,,,9.44,10.91,,,,,,
5.98,,,,,,,,8.85,6.66,,,,,,
22.02,,,,,,,,13.79,14.59,,,,,,
7.33,,,,,,,,9.2,11.49,,,,,,
9.35,,,,,,,,7.49,8.13,,,,,,
2.16,,,,,,,,11.21,16.52,,,,,,
4.9,,,,,,,,2.15,13.86,,,,,,
5.33,,,,,,,,13.29,16.38,,,,,,
6.16,,,,,,,,3.15,17.49,,,,,,
7.3,,,,,,,,19.98,4.49,,,,,,
1.08,,,,,,,,11.5,31.49,,,,,,
8.98,,,,,,,,21.12,20.17,,,,,,
11.99,,,,,,,,12.79,12.37,,,,,,
18.48,,,,,,,,1.56,26.86,,,,,,
7.2,,,,,,,,16.51,35.61,,,,,,
15.47,,,,,,,,2.02,6.62,,,,,,
1.01,,,,,,,,9.73,3.49,,,,,,
10.0,,,,,,,,19.49,6.29,,,,,,
7.19,,,,,,,,2.65,28.54,,,,,,
10.26,,,,,,,,11.95,1.37,,,,,,
16.39,,,,,,,,13.64,1.91,,,,,,
14.77,,,,,,,,14.9,17.32,,,,,,
12.17,,,,,,,,19.57,29.08,,,,,,
19.29,,,,,,,,2.44,7.4,,,,,,
14.56,,,,,,,,1.94,13.4,,,,,,
1.93,,,,,,,,10.96,6.74,,,,,,
11.26,,,,,,,,13.1,4.7,,,,,,
6.59,,,,,,,,17.74,11.26,,,,,,
11.91,,,,,,,,4.0,20.69,,,,,,
10.04,,,,,,,,15.88,12.19,,,,,,
11.57,,,,,,,,1.65,9.22,,,,,,
8.27,,,,,,,,24.19,21.49,,,,,,
0.91,,,,,,,,1.82,19.04,,,,,,
10.51,,,,,,,,19.84,7.0,,,,,,
6.77,,,,,,,,8.43,18.21,,,,,,
11.76,,,,,,,,13.92,7.46,,,,,,
15.31,,,,,,,,17.25,31.91,,,,,,
16.61,,,,,,,,9.63,1.23,,,,,,
14.95,,,,,,,,7.44,4.01,,,,,,
14.65,,,,,,,,12.83,14.04,,,,,,
0.75,,,,,,,,12.5,6.02,,,,,,
10.93,,,,,,,,10.97,14.84,,,,,,
5.71,,,,,,,,27.37,13.72,,,,,,
16.48,,,,,,,,16.6,0.72,,,,,,
14.61,,,,,,,,14.08,12.09,,,,,,
49.57,,,,,,,,9.72,3.45,,,,,,
10.7,,,,,,,,15.24,7.25,,,,,,
13.18,,,,,,,,17.81,12.2,,,,,,
10.25,,,,,,,,22.09,25.1,,,,,,
5.39,,,,,,,,26.5,27.12,,,,,,
18.38,,,,,,,,24.45,20.8,,,,,,
10.9,,,,,,,,11.51,25.78,,,,,,
8.48,,,,,,,,22.38,5.8,,,,,,
13.24,,,,,,,,2.84,18.03,,,,,,
17.98,,,,,,,,11.42,13.33,,,,,,
0.61,,,,,,,,12.47,5.3,,,,,,
14.67,,,,,,,,17.02,11.53,,,,,,
14.73,,,,,,,,13.32,31.09,,,,,,
15.59,,,,,,,,10.79,38.66,,,,,,
17.2,,,,,,,,15.49,25.83,,,,,,
11.42,,,,,,,,1.45,19.08,,,,,,
19.68,,,,,,,,22.01,25.92,,,,,,
1.27,,,,,,,,13.46,20.97,,,,,,
51.42,,,,,,,,17.84,12.36,,,,,,
4.13,,,,,,,,13.36,16.64,,,,,,
16.5,,,,,,,,11.33,8.5,,,,,,
5.94,,,,,,,,2.21,5.99,,,,,,
5.91,,,,,,,,19.45,2.66,,,,,,
16.18,,,,,,,,11.09,34.7,,,,,,
14.87,,,,,,,,10.5,5.16,,,,,,
10.29,,,,,,,,10.89,19.39,,,,,,
8.35,,,,,,,,11.08,16.7,,,,,,
16.4,,,,,,,,24.35,9.72,,,,,,
6.64,,,,,,,,10.29,21.81,,,,,,
6.06,,,,,,,,11.85,26.48,,,,,,
5.56,,,,,,,,9.18,6.22,,,,,,
15.64,,,,,,,,15.89,4.96,,,,,,
11.3,,,,,,,,15.93,7.56,,,,,,
15.1,,,,,,,,24.3,15.33,,,,,,
6.7,,,,,,,,17.63,11.68,,,,,,
2.77,,,,,,,,12.82,2.23,,,,,,
16.69,,,,,,,,10.81,17.14,,,,,,
5.55,,,,,,,,1.35,14.85,,,,,,
52.12,,,,,,,,12.34,31.13,,,,,,
11.66,,,,,,,,17.03,11.98,,,,,,
12.29,,,,,,,,15.25,14.68,,,,,,
51.25,,,,,,,,17.47,24.61,,,,,,
18.84,,,,,,,,18.06,19.11,,,,,,
13.48,,,,,,,,1.81,24.96,,,,,,
2.55,,,,,,,,11.78,7.68,,,,,,
46.98,,,,,,,,2.07,8.76,,,,,,
15.8,,,,,,,,13.06,8.08,,,,,,
4.25,,,,,,,,16.21,16.35,,,,,,
9.27,,,,,,,,24.74,14.39,,,,,,
11.47,,,,,,,,13.43,17.65,,,,,,
11.46,,,,,,,,9.93,13.24,,,,,,
15.24,,,,,,,,2.5,1.43,,,,,,
1.17,,,,,,,,15.02,9.04,,,,,,
12.67,,,,,,,,15.9,34.22,,,,,,
9.23,,,,,,,,10.47,11.27,,,,,,
9.9,,,,,,,,14.77,15.96,,,,,,
17.0,,,,,,,,2.41,18.48,,,,,,
13.35,,,,,,,,8.62,2.03,,,,,,
11.43,,,,,,,,14.29,30.1,,,,,,
14.69,,,,,,,,14.99,20.84,,,,,,
4.76,,,,,,,,16.38,8.8,,,,,,
1.11,,,,,,,,23.28,7.99,,,,,,
15.41,,,,,,,,18.14,13.28,,,,,,
12.88,,,,,,,,12.13,10.31,,,,,,
16.17,,,,,,,,17.26,2.76,,,,,,
51.91,,,,,,,,10.74,7.41,,,,,,
21.69,,,,,,,,9.77,11.96,,,,,,
11.86,,,,,,,,12.61,23.63,,,,,,
1.98,,,,,,,,13.97,23.43,,,,,,
7.11,,,,,,,,1.75,21.08,,,,,,
7.37,,,,,,,,12.03,27.95,,,,,,
4.95,,,,,,,,17.77,5.04,,,,,,
18.58,,,,,,,,17.42,30.11,,,,,,
7.29,,,,,,,,1.84,32.47,,,,,,
10.41,,,,,,,,1.91,12.28,,,,,,
14.86,,,,,,,,1.76,28.85,,,,,,
8.97,,,,,,,,17.45,18.23,,,,,,
2.25,,,,,,,,14.51,10.99,,,,,,
10.15,,,,,,,,11.61,26.59,,,,,,
13.17,,,,,,,,22.12,6.52,,,,,,
17.32,,,,,,,,16.45,7.04,,,,,,
11.4,,,,,,,,2.35,11.88,,,,,,
2.89,,,,,,,,16.01,31.58,,,,,,
12.38,,,,,,,,14.96,13.49,,,,,,
9.42,,,,,,,,13.6,10.08,,,,,,
21.38,,,,,,,,12.41,12.74,,,,,,
13.13,,,,,,,,19.55,7.17,,,,,,
4.88,,,,,,,,12.59,25.09,,,,,,
10.06,,,,,,,,12.97,2.32,,,,,,
1.91,,,,,,,,17.79,6.15,,,,,,
15.45,,,,,,,,19.68,1.2,,,,,,
6.79,,,,,,,,22.21,6.94,,,,,,
1.9,,,,,,,,16.87,21.72,,,,,,
11.22,,,,,,,,12.38,3.29,,,,,,
19.21,,,,,,,,1.12,4.18,,,,,,
17.05,,,,,,,,19.64,16.31,,,,,,
2.2,,,,,,,,14.65,23.6,,,,,,
52.52,,,,,,,,11.36,26.31,,,,,,
8.04,,,,,,,,11.8,24.9,,,,,,
13.86,,,,,,,,10.72,9.86,,,,,,
10.6,,,,,,,,14.71,20.08,,,,,,
14.17,,,,,,,,13.53,11.06,,,,,,
12.45,,,,,,,,13.62,18.43,,,,,,
11.81,,,,,,,,12.16,1.74,,,,,,
16.83,,,,,,,,1.29,17.99,,,,,,
12.48,,,,,,,,8.94,17.3,,,,,,
12.92,,,,,,,,14.81,23.26,,,,,,
15.63,,,,,,,,11.35,1.33,,,,,,
9.13,,,,,,,,17.1,14.63,,,,,,
39.92,,,,,,,,12.02,7.15,,,,,,
18.79,,,,,,,,11.88,12.71,,,,,,
9.19,,,,,,,,2.43,11.52,,,,,,
14.55,,,,,,,,10.24,3.2,,,,,,
10.95,,,,,,,,2.19,16.8,,,,,,
17.26,,,,,,,,11.58,3.17,,,,,,
15.28,,,,,,,,14.41,7.32,,,,,,
12.27,,,,,,,,10.42,16.81,,,,,,
13.84,,,,,,,,1.43,28.1,,,,,,
10.73,,,,,,,,8.93,40.15,,,,,,
24.19,,,,,,,,19.61,18.05,,,,,,
16.95,,,,,,,,12.63,27.17,,,,,,
49.46,,,,,,,,1.68,17.42,,,,,,
14.37,,,,,,,,26.63,11.77,,,,,,
2.44,,,,,,,,12.19,8.39,,,,,,
2.64,,,,,,,,15.91,9.16,,,,,,
12.28,,,,,,,,10.4,19.8,,,,,,
9.85,,,,,,,,12.53,12.11,,,,,,
11.06,,,,,,,,13.9,13.41,,,,,,
15.08,,,,,,,,17.14,15.58,,,,,,
13.67,,,,,,,,13.03,11.9,,,,,,
20.68,,,,,,,,1.96,4.65,,,,,,
5.42,,,,,,,,11.49,1.41,,,,,,
6.47,,,,,,,,16.98,16.13,,,,,,
9.95,,,,,,,,10.27,19.63,,,,,,
6.67,,,,,,,,12.56,23.55,,,,,,
10.74,,,,,,,,21.58,10.95,,,,,,
13.57,,,,,,,,15.87,15.65,,,,,,
18.61,,,,,,,,18.22,17.12,,,,,,
1.99,,,,,,,,2.67,13.34,,,,,,
11.68,,,,,,,,14.8,29.66,,,,,,
13.81,,,,,,,,16.61,30.72,,,,,,
7.39,,,,,,,,15.68,11.7,,,,,,
12.26,,,,,,,,15.35,18.74,,,,,,
4.79,,,,,,,,1.3,21.39,,,,,,
1.86,,,,,,,,2.01,14.89,,,,,,
11.67,,,,,,,,21.27,33.23,,,,,,
13.54,,,,,,,,12.01,12.87,,,,,,
7.58,,,,,,,,2.04,20.29,,,,,,
8.92,,,,,,,,14.44,20.41,,,,,,
8.72,,,,,,,,18.02,4.37,,,,,,
16.1,,,,,,,,15.0,3.16,,,,,,
47.91,,,,,,,,19.18,3.26,,,,,,
13.68,,,,,,,,2.37,18.67,,,,,,
17.89,,,,,,,,13.17,13.54,,,,,,
19.08,,,,,,,,1.53,23.14,,,,,,
6.42,,,,,,,,17.39,18.79,,,,,,
11.59,,,,,,,,18.48,21.65,,,,,,
6.39,,,,,,,,25.79,14.56,,,,,,
11.35,,,,,,,,11.48,1.15,,,,,,
13.03,,,,,,,,9.52,25.54,,,,,,
15.48,,,,,,,,2.08,25.72,,,,,,
15.23,,,,,,,,2.14,0.76,,,,,,
3.72,,,,,,,,14.87,2.84,,,,,,
9.84,,,,,,,,15.92,17.48,,,,,,
10.14,,,,,,,,20.16,2.75,,,,,,
45.42,,,,,,,,12.73,10.83,,,,,,
9.96,,,,,,,,17.6,16.85,,,,,,
12.7,,,,,,,,13.88,21.77,,,,,,
54.66,,,,,,,,11.63,27.25,,,,,,
13.01,,,,,,,,14.12,17.35,,,,,,
13.0,,,,,,,,13.04,14.34,,,,,,
18.6,,,,,,,,2.0,9.11,,,,,,
17.12,,,,,,,,17.16,22.84,,,,,,
11.2,,,,,,,,12.04,15.68,,,,,,
51.37,,,,,,,,2.22,12.57,,,,,,
45.71,,,,,,,,13.11,13.04,,,,,,
11.41,,,,,,,,15.2,3.74,,,,,,
7.73,,,,,,,,16.46,14.43,,,,,,
14.4,,,,,,,,12.26,6.58,,,,,,
0.9,,,,,,,,8.77,27.43,,,,,,
16.58,,,,,,,,14.49,16.32,,,,,,
0.5,,,,,,,,13.38,26.95,,,,,,
10.91,,,,,,,,17.64,24.85,,,,,,
13.29,,,,,,,,12.8,14.92,,,,,,
15.27,,,,,,,,19.8,17.77,,,,,,
13.41,,,,,,,,18.56,9.78,,,,,,
10.79,,,,,,,,14.76,6.71,,,,,,
2.13,,,,,,,,18.25,9.81,,,,,,
14.82,,,,,,,,14.94,15.24,,,,,,
16.55,,,,,,,,22.67,1.65,,,,,,
47.99,,,,,,,,11.96,9.0,,,,,,
11.83,,,,,,,,10.35,3.34,,,,,,
16.09,,,,,,,,2.33,26.24,,,,,,
12.65,,,,,,,,24.34,30.04,,,,,,
15.07,,,,,,,,1.57,12.1,,,,,,
4.81,,,,,,,,17.85,26.37,,,,,,
0.65,,,,,,,,13.3,14.73,,,,,,
15.99,,,,,,,,1.66,24.26,,,,,,
12.79,,,,,,,,12.06,35.5,,,,,,
19.58,,,,,,,,14.45,24.88,,,,,,
20.93,,,,,,,,13.69,5.74,,,,,,
13.2,,,,,,,,12.66,18.53,,,,,,
22.91,,,,,,,,12.9,9.97,,,,,,
8.76,,,,,,,,14.3,10.9,,,,,,
13.52,,,,,,,,1.7,15.92,,,,,,
13.11,,,,,,,,16.74,19.27,,,,,,
13.08,,,,,,,,10.63,18.38,,,,,,
18.26,,,,,,,,14.6,13.78,,,,,,
12.82,,,,,,,,18.41,15.97,,,,,,
12.86,,,,,,,,2.53,25.61,,,,,,
8.82,,,,,,,,11.83,1.98,,,,,,
14.01,,,,,,,,21.11,15.81,,,,,,
15.96,,,,,,,,16.24,11.31,,,,,,
14.58,,,,,,,,16.15,8.89,,,,,,
0.54,,,,,,,,19.35,4.42,,,,,,
4.85,,,,,,,,2.28,17.62,,,,,,
14.6,,,,,,,,10.68,14.29,,,,,,
11.96,,,,,,,,1.1,22.06,,,,,,
49.86,,,,,,,,1.78,2.12,,,,,,
12.36,,,,,,,,17.69,6.31,,,,,,
16.14,,,,,,,,13.78,24.22,,,,,,
51.45,,,,,,,,17.24,10.44,,,,,,
5.58,,,,,,,,11.44,16.12,,,,,,
10.27,,,,,,,,12.21,38.43,,,,,,
9.97,,,,,,,,16.28,15.93,,,,,,
46.0,,,,,,,,11.3,10.42,,,,,,
11.21,,,,,,,,19.23,6.19,,,,,,
53.72,,,,,,,,14.13,29.46,,,,,,
48.11,,,,,,,,1.95,10.18,,,,,,
12.78,,,,,,,,16.68,15.49,,,,,,
1.15,,,,,,,,15.13,11.66,,,,,,
20.51,,,,,,,,1.6,3.4,,,,,,
9.07,,,,,,,,9.31,19.84,,,,,,
14.74,,,,,,,,20.61,22.52,,,,,,
16.63,,,,,,,,2.17,27.5,,,,,,
22.34,,,,,,,,30.47,13.16,,,,,,
10.65,,,,,,,,17.97,12.39,,,,,,
18.91,,,,,,,,22.33,38.13,,,,,,
17.35,,,,,,,,24.94,1.69,,,,,,
13.97,,,,,,,,24.2,25.0,,,,,,
7.48,,,,,,,,17.11,2.86,,,,,,
9.69,,,,,,,,13.67,2.93,,,,,,
8.75,,,,,,,,12.09,8.41,,,,,,
13.74,,,,,,,,18.05,12.8,,,,,,
17.8,,,,,,,,19.27,13.11,,,,,,
19.0,,,,,,,,13.01,41.28,,,,,,
49.31,,,,,,,,10.16,0.96,,,,,,
1.31,,,,,,,,20.01,2.14,,,,,,
14.15,,,,,,,,15.75,31.0,,,,,,
13.4,,,,,,,,12.99,5.51,,,,,,
15.95,,,,,,,,1.42,16.29,,,,,,
50.85,,,,,,,,19.0,22.89,,,,,,
7.4,,,,,,,,16.1,16.66,,,,,,
14.36,,,,,,,,19.31,24.67,,,,,,
11.5,,,,,,,,12.72,21.07,,,,,,
10.87,,,,,,,,13.31,11.62,,,,,,
20.01,,,,,,,,22.18,22.7,,,,,,
14.81,,,,,,,,16.34,1.62,,,,,,
9.02,,,,,,,,15.23,17.19,,,,,,
0.77,,,,,,,,11.56,9.37,,,,,,
17.37,,,,,,,,15.44,7.12,,,,,,
13.56,,,,,,,,27.16,2.05,,,,,,
14.24,,,,,,,,12.58,14.2,,,,,,
50.06,,,,,,,,2.03,10.14,,,,,,
22.13,,,,,,,,18.83,11.04,,,,,,
16.25,,,,,,,,11.9,5.05,,,,,,
13.22,,,,,,,,18.19,19.21,,,,,,
5.01,,,,,,,,14.02,18.33,,,,,,
12.03,,,,,,,,19.46,20.5,,,,,,
15.21,,,,,,,,18.57,12.34,,,,,,
19.19,,,,,,,,16.83,9.64,,,,,,
15.86,,,,,,,,12.94,19.42,,,,,,
9.99,,,,,,,,18.46,17.18,,,,,,
18.59,,,,,,,,2.45,5.98,,,,,,
14.38,,,,,,,,1.36,26.42,,,,,,
14.29,,,,,,,,14.42,23.13,,,,,,
15.85,,,,,,,,15.63,35.87,,,,,,
12.21,,,,,,,,1.83,15.21,,,,,,
53.16,,,,,,,,14.04,26.18,,,,,,
18.32,,,,,,,,17.57,44.86,,,,,,
14.07,,,,,,,,18.79,22.76,,,,,,
13.15,,,,,,,,23.7,22.09,,,,,,
15.2,,,,,,,,13.07,22.64,,,,,,
11.7,,,,,,,,11.38,26.25,,,,,,
8.88,,,,,,,,17.93,0.7,,,,,,
16.65,,,,,,,,1.32,9.03,,,,,,
14.7,,,,,,,,23.8,24.81,,,,,,
11.92,,,,,,,,14.88,8.75,,,,,,
19.32,,,,,,,,10.99,0.93,,,,,,
19.52,,,,,,,,13.08,10.98,,,,,,
12.96,,,,,,,,1.62,9.94,,,,,,
12.59,,,,,,,,15.99,7.48,,,,,,
45.89,,,,,,,,16.2,10.67,,,,,,
11.32,,,,,,,,1.37,12.16,,,,,,
15.37,,,,,,,,19.66,13.56,,,,,,
14.48,,,,,,,,22.31,32.68,,,,,,
15.81,,,,,,,,16.93,12.72,,,,,,
19.54,,,,,,,,21.19,11.78,,,,,,
19.36,,,,,,,,14.23,10.01,,,,,,
4.69,,,,,,,,18.71,4.41,,,,,,
21.29,,,,,,,,13.75,25.23,,,,,,
50.51,,,,,,,,14.28,12.0,,,,,,
15.6,,,,,,,,13.87,12.04,,,,,,
17.08,,,,,,,,17.86,12.81,,,,,,
15.13,,,,,,,,10.38,5.29,,,,,,
58.11,,,,,,,,14.48,1.67,,,,,,
17.22,,,,,,,,17.78,3.78,,,,,,
13.75,,,,,,,,13.95,10.33,,,,,,
15.62,,,,,,,,13.47,19.83,,,,,,
15.29,,,,,,,,15.31,13.87,,,,,,
46.76,,,,,,,,1.67,15.94,,,,,,
47.61,,,,,,,,12.68,21.56,,,,,,
16.85,,,,,,,,16.41,8.27,,,,,,
14.94,,,,,,,,21.39,10.75,,,,,,
12.14,,,,,,,,1.21,9.02,,,,,,
21.7,,,,,,,,13.41,10.68,,,,,,
14.71,,,,,,,,16.53,25.32,,,,,,
14.35,,,,,,,,17.66,15.15,,,,,,
9.51,,,,,,,,18.6,21.59,,,,,,
39.79,,,,,,,,18.01,11.01,,,,,,
16.71,,,,,,,,16.58,22.78,,,,,,
11.75,,,,,,,,23.61,10.48,,,,,,
15.97,,,,,,,,15.51,21.35,,,,,,
9.75,,,,,,,,19.78,26.69,,,,,,
17.76,,,,,,,,23.71,25.22,,,,,,
52.83,,,,,,,,12.42,5.17,,,,,,
52.02,,,,,,,,19.25,11.23,,,,,,
10.62,,,,,,,,14.98,3.69,,,,,,
13.09,,,,,,,,14.7,4.85,,,,,,
12.19,,,,,,,,14.5,36.51,,,,,,
12.01,,,,,,,,19.32,5.01,,,,,,
13.38,,,,,,,,15.22,14.65,,,,,,
16.72,,,,,,,,25.14,18.34,,,,,,
13.02,,,,,,,,18.75,20.32,,,,,,
15.61,,,,,,,,18.5,14.66,,,,,,
13.88,,,,,,,,23.44,12.53,,,,,,
15.49,,,,,,,,27.93,22.66,,,,,,
12.49,,,,,,,,16.42,19.17,,,,,,
19.74,,,,,,,,18.11,4.88,,,,,,
16.07,,,,,,,,26.0,12.06,,,,,,
12.6,,,,,,,,17.07,8.64,,,,,,
15.87,,,,,,,,16.17,8.16,,,,,,
14.66,,,,,,,,24.65,6.78,,,,,,
15.93,,,,,,,,1.19,16.65,,,,,,
21.64,,,,,,,,17.08,12.47,,,,,,
16.2,,,,,,,,17.29,3.41,,,,,,
14.39,,,,,,,,19.36,9.84,,,,,,
11.33,,,,,,,,18.29,31.42,,,,,,
17.1,,,,,,,,1.34,23.21,,,,,,
14.42,,,,,,,,23.54,24.27,,,,,,
18.3,,,,,,,,16.91,18.31,,,,,,
48.69,,,,,,,,20.66,15.41,,,,,,
2.34,,,,,,,,28.28,16.07,,,,,,
9.63,,,,,,,,21.84,23.93,,,,,,
15.67,,,,,,,,10.15,23.65,,,,,,
12.42,,,,,,,,11.67,25.12,,,,,,
20.83,,,,,,,,16.84,10.03,,,,,,
15.19,,,,,,,,10.23,13.46,,,,,,
49.63,,,,,,,,15.78,5.9,,,,,,
17.59,,,,,,,,17.71,13.3,,,,,,
17.03,,,,,,,,12.49,12.99,,,,,,
48.57,,,,,,,,15.17,13.43,,,,,,
14.89,,,,,,,,1.9,7.67,,,,,,
1.05,,,,,,,,12.88,20.58,,,,,,
16.62,,,,,,,,22.19,17.61,,,,,,
18.06,,,,,,,,17.99,5.06,,,,,,
14.62,,,,,,,,11.97,24.16,,,,,,
0.52,,,,,,,,14.93,30.97,,,,,,
13.3,,,,,,,,12.95,12.26,,,,,,
20.56,,,,,,,,11.6,9.55,,,,,,
21.34,,,,,,,,15.64,1.38,,,,,,
11.63,,,,,,,,20.07,16.4,,,,,,
15.33,,,,,,,,23.76,25.96,,,,,,
10.63,,,,,,,,16.3,19.19,,,,,,
15.94,,,,,,,,24.14,14.75,,,,,,
52.51,,,,,,,,14.34,12.79,,,,,,
10.17,,,,,,,,24.9,8.98,,,,,,
14.63,,,,,,,,21.18,35.98,,,,,,
18.27,,,,,,,,16.48,10.26,,,,,,
25.04,,,,,,,,15.55,78.8,,,,,,
12.71,,,,,,,,19.44,25.64,,,,,,
12.57,,,,,,,,16.82,29.82,,,,,,
14.32,,,,,,,,13.93,14.07,,,,,,
17.74,,,,,,,,22.41,10.37,,,,,,
15.32,,,,,,,,12.57,12.95,,,,,,
17.25,,,,,,,,23.53,25.02,,,,,,
24.67,,,,,,,,16.02,35.25,,,,,,
11.38,,,,,,,,15.45,25.28,,,,,,
16.56,,,,,,,,17.46,22.39,,,,,,
10.78,,,,,,,,21.35,14.7,,,,,,
15.4,,,,,,,,15.08,31.3,,,,,,
12.87,,,,,,,,20.49,22.73,,,,,,
17.15,,,,,,,,14.4,86.52,,,,,,
11.39,,,,,,,,18.86,2.02,,,,,,
17.85,,,,,,,,11.84,24.0,,,,,,
13.62,,,,,,,,15.3,9.53,,,,,,
19.42,,,,,,,,14.66,6.14,,,,,,
10.4,,,,,,,,17.72,3.67,,,,,,
18.78,,,,,,,,14.15,13.15,,,,,,
44.12,,,,,,,,13.23,18.07,,,,,,
22.74,,,,,,,,17.88,15.73,,,,,,
18.01,,,,,,,,17.92,4.16,,,,,,
16.27,,,,,,,,14.83,1.85,,,,,,
9.08,,,,,,,,16.59,13.08,,,,,,
12.09,,,,,,,,22.5,25.81,,,,,,
17.19,,,,,,,,17.56,34.01,,,,,,
14.43,,,,,,,,20.29,21.92,,,,,,
23.16,,,,,,,,2.05,2.35,,,,,,
11.8,,,,,,,,16.86,5.5,,,,,,
10.46,,,,,,,,9.97,28.67,,,,,,
13.8,,,,,,,,18.66,20.27,,,,,,
16.64,,,,,,,,17.54,6.21,,,,,,
10.72,,,,,,,,17.31,27.72,,,,,,
20.82,,,,,,,,16.75,25.89,,,,,,
15.04,,,,,,,,13.09,26.78,,,,,,
16.79,,,,,,,,18.21,22.24,,,,,,
0.6,,,,,,,,15.16,10.07,,,,,,
13.19,,,,,,,,1.49,27.38,,,,,,
24.75,,,,,,,,21.36,1.42,,,,,,
13.44,,,,,,,,16.85,13.6,,,,,,
20.16,,,,,,,,15.98,3.24,,,,,,
17.5,,,,,,,,16.97,6.32,,,,,,
10.49,,,,,,,,22.11,28.56,,,,,,
12.08,,,,,,,,23.63,23.81,,,,,,
12.97,,,,,,,,23.55,30.27,,,,,,
